,Headline,Date,Provider
402,Climate change costs India $10 billion every year: Government - The Economic Times,2017-08-18,Economic Times India
403,Bankruptcy: Clock is ticking on India's bad bank debts under bankruptcy laws - The Economic Times,2017-06-19,Economic Times India
404,Co-op banks used notes ban as opportunity to launder crores: I-T department - The Economic Times,2017-01-09,Economic Times India
405,"CBDT: Collection not satisfactory, pull your socks up: CBDT to taxmen - The Economic Times",2017-07-07,Economic Times India
406,Niti Aayog | Public Asset sale: Coming soon: The great sarkari sale,2019-08-08,Economic Times India
408,"Commerce ministry: Commerce Ministry spent 99.45% of FY17 plan outlay, highest in 5 yrs - The Economic Times",2017-04-05,Economic Times India
409,Commerce Ministry to soon seek cabinet's nod for Rs 500 crore CLMV fund - The Economic Times,2015-08-14,Economic Times India
410,Foxconn: Committed to investing $5 billion in Maharashtra: Foxconn - The Economic Times,2018-02-16,Economic Times India
411,"Companies bypass banks to raise short-term funds via commercial papers - The Economic Times
						",2015-06-04,Economic Times India
412,Companies raise record Rs 4.92 lakh crore via debt placement in FY'16 - The Economic Times,2016-05-30,Economic Times India
413,Companies raise record Rs 4.92 lakh crore via debt placement in FY'16 - The Economic Times,2016-05-30,Economic Times India
414,GST: Companies vanishing act on GST invites taxmen,2018-12-12,Economic Times India
415,"Companies will have to pay service tax on services availed from government from next fiscal year - The Economic Times
						",2016-03-09,Economic Times India
416,"Up close &amp; personal: How Sunny Leone handles stocks, land, gold, other assets - The Economic Times",2016-08-19,Economic Times India
417,The mystery behind Urjit Patel’s twitter handle - The Economic Times,2016-08-21,Economic Times India
418,Companies with high input tax claims under lens - The Economic Times,2019-03-10,Economic Times India
419,Confusion over new payment settlement system hits tea trading - The Economic Times,2016-09-28,Economic Times India
420,"Consumer, SME loan market to reach $3 trillion in 10 years: Report - The Economic Times",2016-07-13,Economic Times India
421,Controlling inflation our prime duty: RBI Governor D Subbarao - The Economic Times,2013-01-17,Economic Times India
422,Controls on management can better curb norms violation: IRDA - The Economic Times,2016-02-02,Economic Times India
423,Convergence with IFRS by 2011: Government - The Economic Times,2010-07-08,Economic Times India
424,Cooling inflation boosts expectations for more rate cuts - The Economic Times,2015-09-14,Economic Times India
425,"Cooperative banks now can't accept deposits under PMGKY - The Economic Times
						",2017-01-21,Economic Times India
426,Core investment companies can raise ECB for SPVs - The Economic Times,2013-12-03,Economic Times India
427,Corporate affairs secretary says RBI may have to open special window for HFCs - The Economic Times,2018-11-06,Economic Times India
428,"Corporate borrowing cost see greater fall than home loans: RBI - The Economic Times
						",2016-08-30,Economic Times India
429,Corporate debt pie grows by 15 per cent as on December 31 - The Economic Times,2017-03-14,Economic Times India
430,Corporate debt worth $178 billion at default risk: BNP Paribas - The Economic Times,2016-04-19,Economic Times India
431,"India: Corporate India M&amp;A, private equity deals cross $60 billion in 2017 - The Economic Times",2018-01-28,Economic Times India
432,"Corporate leverage in decline, banking strain remains: DBS - The Economic Times",2016-07-08,Economic Times India
433,Corporate loan repayment rises 11.5% in April-September 2016: SBI report - The Economic Times,2017-01-19,Economic Times India
434,Corporate loan repayment rises 11.5% in April-September 2016: SBI report - The Economic Times,2017-01-19,Economic Times India
435,Corporate tax cut to have 'minor' impact on fiscal deficit: Niti Aayog - The Economic Times,2019-09-21,Economic Times India
436,"Corporate tax cut to help top 1,000 firms save Rs 37,000 cr: Crisil - The Economic Times",2019-09-22,Economic Times India
437,"Corporate tax cut to help top 1000 firms to save Rs 65,000 crore - The Economic Times",2019-10-01,Economic Times India
438,Corporate tax proposals to fuel new India - The Economic Times,2019-07-09,Economic Times India
439,"Costs involved in increasing foreign exchange reserves, says central bank's HR Khan - The Economic Times",2015-02-23,Economic Times India
440,"Costs involved in increasing foreign exchange reserves, says central bank's HR Khan - The Economic Times",2015-02-23,Economic Times India
441,Costs Rs 2.87-3.77 to print each new Rs 500/2000 note: Government,2017-03-15,Economic Times India
442,Costs Rs 2.87-3.77 to print each new Rs 500/2000 note: Government - The Economic Times,2017-03-15,Economic Times India
443,CAD: Country's current account deficit widens as services exports and remittances slow down - The Economic Times,2017-03-23,Economic Times India
444,"Cover drive! Rs 2-lakh insurance cover for 3 years for Jan Dhan account holders on cards - The Economic Times
						",2017-01-20,Economic Times India
445,CPI inflation to remain below 5% in first half of 2017: HSBC - The Economic Times,2016-12-15,Economic Times India
446,CPSE stake sale: Ministries wary of foreign investors,2017-03-09,Economic Times India
447,CPSEs asked to draw up plans to monetise assets - The Economic Times,2016-05-27,Economic Times India
448,"Assocham: Credit appetite in power, telecom, mining on the wane: Report - The Economic Times",2017-05-14,Economic Times India
449,Credit growth hits double digit at 12% in September quarter - The Economic Times,2016-11-29,Economic Times India
450,"Credit growth in Indian banks slows down, says RBI - The Economic Times",2016-03-30,Economic Times India
451,"Credit growth likely to be muted at 8% this fiscal: Assocham - The Economic Times
						",2017-12-28,Economic Times India
452,RBI: Credit rating firms face criticism from RBI,2019-03-08,Economic Times India
453,Crisil sees GDP growing at 7.9% in 2016-17 - The Economic Times,2016-03-11,Economic Times India
454,Crisil slashes GDP growth by 100 bps to 6.9% for FY'17 - The Economic Times,2016-12-01,Economic Times India
455,"Crude oil: Crude shock: Icra sees CAD doubling to 1.5% of GDP by March - The Economic Times
						",2017-12-28,Economic Times India
456,Curbing gold demand as panacea for economic ills not a good sign - The Economic Times,2013-01-09,Economic Times India
457,Narendra Modi | Demonetisation: Currency in circulation almost at pre-demonetisation levels,2018-03-01,Economic Times India
458,India GDP : Currency in circulation as percentage of GDP declines since DeMo: FinMin official,2019-03-27,Economic Times India
459,"Currency in circulation dips Rs 9,740 crore in the week Rs 500 and Rs 1000 bills demonetised - The Economic Times",2016-11-16,Economic Times India
460,RBI: Currency shortage spreads to more states - The Economic Times,2018-04-17,Economic Times India
461,"Currency situation to normalise by end of Feb 2017: SBI Economic Research - The Economic Times
						",2017-01-20,Economic Times India
462,Currency-to-GDP ratio to reach 9 per cent by March end: Nomura - The Economic Times,2017-01-27,Economic Times India
463,Currency with public doubles from demonetisation low; hits record at over Rs 18 lakh crore - The Economic Times,2018-06-10,Economic Times India
464,icra: Currency with public to rise to Rs 16 lakh cr by March: Icra - The Economic Times,2017-09-20,Economic Times India
465,Current account deficit likely to stay below 1 per cent of GDP this year: DBS report - The Economic Times,2016-10-17,Economic Times India
466,"Current account deficit may narrow to 0.7% of GDP in FY16, says Nomura - The Economic Times",2016-03-16,Economic Times India
467,"gdp: Current account deficit seen at 1.2-1.3 per cent of GDP in FY18: Icra - The Economic Times
						",2017-09-17,Economic Times India
468,Current account deficit threat to India's financial stability: RBI - The Economic Times,2012-04-17,Economic Times India
469,Current account deficit to be closer to 1.3% in FY16: Ind-Ra - The Economic Times,2016-03-22,Economic Times India
470,GDP: Current account deficit to hit 2.8% of GDP in FY19: SBI report,2018-08-27,Economic Times India
471,Current account deficit to widen to 1.6% from 0.5% of GDP: Nomura - The Economic Times,2017-04-17,Economic Times India
472,'Current account may stay at existing levels over 6-9 months' - The Economic Times,2016-10-02,Economic Times India
473,"revenue collection: Customs, IGST collection nearly doubles to Rs 30,000 crore in July",2017-08-04,Economic Times India
474,Cut interest rates to sustain recovery: FICCI,2009-12-11,Economic Times India
475,CVC finds many flaws in sale of bad debt by banks - The Economic Times,2019-03-18,Economic Times India
476,CVC to address bankers at Gyan Sangam 2.0 today - The Economic Times,2016-03-04,Economic Times India
477,Cyprus-linked PEs seek refund of tax on returns - The Economic Times,2016-07-09,Economic Times India
478,"Dalal Street nervous? Minimum Alternate Tax worries to continue on inflows from US, UK - The Economic Times",2015-04-24,Economic Times India
479,RBI: Das Capital - Next year will test how smartly RBI plays the game,2018-12-30,Economic Times India
480,"Day 5: Spectrum auction gets bids worth Rs 63,325 crore so far - The Economic Times",2016-10-06,Economic Times India
481,indian economy: DBS: India's economy likely to grow by 6.6 per cent in FY18 - The Economic Times,2018-01-12,Economic Times India
482,DBT for subsidies leads to significant savings - The Economic Times,2016-05-10,Economic Times India
483,"Aadhaar: Aadhaar scheme helped government save Rs 34,000 crore: Finance Secy",2017-03-30,Economic Times India
484,"Debit, credit cards, ATMs will be redundant in 4 years: Niti CEO Amitabh Kant - The Economic Times
						",2017-11-11,Economic Times India
485,Debt servicing ability of most large firms still weak: Report - The Economic Times,2016-07-03,Economic Times India
486,"telecom sector: Declining telecom income may impact government's revenue: Manoj Sinha - The Economic Times
						",2017-07-26,Economic Times India
487,Dedicated Freight Corp to award contracts worth Rs 9700 crore by July end - The Economic Times,2016-06-03,Economic Times India
488,"Defaulters can't be given endless opportunities, warns Arun Jaitley - The Economic Times",2016-11-05,Economic Times India
489,"Deficient monsoon will not impact rural spending much, says India Ratings - The Economic Times",2015-07-07,Economic Times India
490,Delhi Assembly passes budget for 2015-16 - The Economic Times,2015-06-30,Economic Times India
491,"Delhi Budget 2016: Government set to cut VAT, and your bills as well - The Economic Times",2016-03-27,Economic Times India
492,"Delhi Budget: Government estimates to get Rs 30,454 crore as revenue - The Economic Times",2013-03-20,Economic Times India
493,"aam aadmi party: Delhi government presents 'green budget', aims at controlling pollution - The Economic Times",2018-03-22,Economic Times India
494,"Delhi government presents Rs 46,600 crore budget; garments, shoes may be cheaper - The Economic Times",2016-03-28,Economic Times India
495,Foreign direct Investment: Delhi-NCR accounts for 25 per cent of FDI in Apr-Dec 2018-19,2019-03-04,Economic Times India
496,"Delhi per capita income for 2015-16 likely to be Rs 2.8 lakh - The Economic Times
						",2016-05-14,Economic Times India
497,Why compliance jobs are hot in Indian lending sector - The Economic Times,2016-07-15,Economic Times India
498,Demand for compliance professionals in lending sector is rising - The Economic Times,2016-07-15,Economic Times India
499,"revenue collections: Demonetisation helped increase revenue collections: Arun Jaitley - The Economic Times
						",2017-09-29,Economic Times India
500,"Demonetisation: A month on, cashlessness sting just as painful - The Economic Times",2016-12-07,Economic Times India
501,"Demonetisation: After Notebandi, banks flush with money, but companies in no shape to borrow",2017-01-13,Economic Times India
502,Demonetisation 'atrociously planned and executed': NYT - The Economic Times,2017-01-10,Economic Times India
503,"Narendra Modi: Before Narendra Modi removed the oxygen of cash, Indian economy was racing - The Economic Times",2016-11-30,Economic Times India
504,"Demonetisation: BofA-ML sees RBI surplus payout at Rs 50,000 crore - The Economic Times",2017-01-04,Economic Times India
505,Demonetisation cash in banks can boost capital markets: Neeraj Gupta - The Economic Times,2017-02-03,Economic Times India
506,"Demonetisation: Economy poorer by Rs 5.8 lakh crore on currency, reserves contraction - The Economic Times",2016-12-01,Economic Times India
507,"Demonetisation effect: How the common man is going digital amidst cash crunch - The Economic Times
						",2016-12-10,Economic Times India
508,SBI Life Insurance IPO: Grey market premiums soar for current IPOs even before close,2017-09-08,Economic Times India
509,"Nokia 6 Registrations - Nokia 6: Registrations on Amazon open today, phone to be available from August 23",2017-07-14,Economic Times India
510,Biocon: Biocon surges on USFDA's cancer drug approval,2017-07-14,Economic Times India
511,IT Q1 Earnings: What do Q1 nos say about IT jobs outlook? Not as bad as you thought,2017-07-14,Economic Times India
512,Sasikala row: Karnataka IPS officer opens a can of worms,2017-07-14,Economic Times India
513,Narendra Modi: Kashmir attack: PM Modi says India will never be bogged down by evil designs of hate,2017-07-11,Economic Times India
514,HRA: How to claim tax exemption on HRA without landlord's PAN,2017-07-14,Economic Times India
515,Infosys Q1 results: Infosys beats Street estimates: 5 key takeaways from Q1 results,2017-07-14,Economic Times India
516,"Infibeam: Infibeam board approves share split, CC Avenue amalgamation",2017-07-13,Economic Times India
517,Gold Rate Today: Track today gold rate latest trends and news,2017-07-14,Economic Times India
518,"Markets trade flat, Pharma stocks save losses",2017-07-14,Economic Times India
519,"HDFC-Max Life merger: HDFC Life may call off merger plan with Max Life, focus on IPO",2017-07-14,Economic Times India
520,Share Market Updates: Market Now: Stocks that hit 52-week low today,2017-07-14,Economic Times India
521,Demonetisation effect: Money supply growth may decline by 3% - The Economic Times,2016-12-07,Economic Times India
522,"indian economy: Demonetisation effect transitory, says UN expert - The Economic Times
						",2017-05-17,Economic Times India
523,Currency Demonetisation effect: Why cryptocurrency is gaining currency in cashless times,2016-12-08,Economic Times India
524,Demonetisation: From cash to less cash to cashless,2016-11-29,Economic Times India
525,Demonetisation good in the long-run: HDFC Bank MD Aditya Puri - The Economic Times,2017-01-10,Economic Times India
526,Demonetisation good in the long-run: HDFC Bank MD Aditya Puri - The Economic Times,2017-01-10,Economic Times India
527,"revenue collections: Demonetisation helped increase revenue collections: Arun Jaitley - The Economic Times
						",2017-09-29,Economic Times India
528,"Demonetization | Arun Jaitley: Demonetisation led to more tax collection, higher growth",2018-08-30,Economic Times India
529,Demonetisation: Lost money could be used for aam aadmi - The Economic Times,2016-11-22,Economic Times India
530,"Demonetisation: No special dividend for government, says Urjit Patel - The Economic Times",2016-12-08,Economic Times India
531,Demonetisation: Now defaulters queue up to settle loans with old notes - The Economic Times,2016-11-23,Economic Times India
532,income tax return: Demonetisation &amp; Operation Clean Money effect: ITR filings for 2016-17 grow 25% to 2.82 crore,2017-08-07,Economic Times India
533,Demonetisation: RBI's own figures indicate return of 15 lakh crore of banned notes,2017-01-14,Economic Times India
534,Demonetisation: RBI's own figures indicate return of 15 lakh crore of banned notes - The Economic Times,2017-01-14,Economic Times India
535,"Demonetisation reduced cash transactions, says Niti Aayog VC - The Economic Times",2018-08-30,Economic Times India
536,"Demonetisation: Short-term hiccup, long-term positive - The Economic Times",2016-11-10,Economic Times India
537,PM Narendra Modi: Demonetisation silently changing the way the country does financial transactions - The Economic Times,2016-11-30,Economic Times India
538,"Is demonetisation a success? Nobody really knows, not even Mr Modi as of now - The Economic Times
						",2017-01-21,Economic Times India
539,"Demonetise Rs 500 and Rs 1,000 notes: Demonetisation to have temporary impact on MFIs, borrowers - The Economic Times",2016-11-17,Economic Times India
540,Demonetisation to permanently erode cash worth Rs 1.7 lakh crore: SBI research,2017-04-03,Economic Times India
541,Demonetisation to permanently erode cash worth Rs 1.7 lakh crore: SBI research - The Economic Times,2017-04-03,Economic Times India
542,"Demonetization: Will bank queues recede in the new year? May be, may be not",2016-12-09,Economic Times India
543,Demonetization likely to be credit positive for sovereign over time: Moody’s - The Economic Times,2017-03-09,Economic Times India
544,Dent on growth will be bigger than RBI's estimates: Nomura - The Economic Times,2016-12-22,Economic Times India
545,Deposit growth slows to 53-yr low of 9.1% in FY16 - The Economic Times,2016-04-16,Economic Times India
546,Deposit growth slows to 53-yr low of 9.1% in FY16 - The Economic Times,2016-04-16,Economic Times India
547,"Deposit insurance in India covers 92% of accounts, 28% of banking deposits: RBI - The Economic Times",2019-08-29,Economic Times India
548,"Deposits worth about Rs 21,000 crore mobilised under Pradhan Mantri Jan Dhan Yojana - The Economic Times",2015-08-12,Economic Times India
549,Despite NBFC crisis financial system stable; NPAs fall to 9.3% in FY19: RBI report - The Economic Times,2019-06-27,Economic Times India
550,Detach morality from NPA clean-up: Raghuram Rajan - The Economic Times,2016-04-20,Economic Times India
551,NBFCs: Deterioration in credit discipline more detrimental to MFIs than rural focussed NBFCs - The Economic Times,2017-06-14,Economic Times India
552,Deutsche Bank sees Raghuram Rajan trimming rates in September - The Economic Times,2015-09-04,Economic Times India
553,"Developing nations' share in IBRD, IFC should be 50%: FM Arun Jaitley - The Economic Times",2016-04-17,Economic Times India
554,DGGI recovers over Rs 50 crore evaded tax in Mangaluru - The Economic Times,2018-04-02,Economic Times India
555,"Digi pay: 3.81 lakh consumers, 21,000 merchants win Rs 61 crore - The Economic Times
						",2017-01-19,Economic Times India
556,"Digi pay: 3.81 lakh consumers, 21,000 merchants win Rs 61 crore - The Economic Times",2017-01-19,Economic Times India
557,Digital currency to abet money laundering: Report - The Economic Times,2013-07-21,Economic Times India
558,"digital transaction: Digital drive gaining steam: Currency circulation declines during festive season, says RBI data - The Economic Times
						",2017-10-02,Economic Times India
559,E-wallets: Digital payments: India lags China in e-transactions - The Economic Times,2017-10-10,Economic Times India
560,"Digital Payment: Digital payments rise 55% in FY'17: Watal - The Economic Times
						",2017-07-03,Economic Times India
561,"Instant payment: Digital payments up, debit card use declines: Report - The Economic Times",2017-09-25,Economic Times India
562,FM Arun Jaitley: Digital payments will help lower fiscal deficit - The Economic Times,2016-12-25,Economic Times India
563,Digital Payment: Digital transactions go down with more cash coming into the system - The Economic Times,2017-04-03,Economic Times India
564,digital transaction: Digital transactions slowing down after initial demonetisation rush - The Economic Times,2017-07-11,Economic Times India
565,Digital transactions to touch Rs 4 cr/day this year: Ravi Shankar Prasad - The Economic Times,2017-03-15,Economic Times India
566,"GST: Dip in revenue pushes India to crack down on tax compliance - The Economic Times
						",2017-12-22,Economic Times India
567,DIPAM readies blueprint for FY18 divestment - The Economic Times,2017-02-15,Economic Times India
568,DIPP floats draft cabinet note to raise FDI threshold to Rs 3000 crore from Rs 1200 crore - The Economic Times,2015-03-16,Economic Times India
569,DIPP moves cabinet note on 100% FDI in food processing - The Economic Times,2016-04-28,Economic Times India
570,DIPP yet to decide on transfer of NRI’s stake to Pakistani national - The Economic Times,2015-07-25,Economic Times India
571,"Direct Benefit Transfer leads to Rs 50,000-crore savings for government in 3 years - The Economic Times
						",2017-02-20,Economic Times India
572,Direct tax collection at Rs 5.47 lakh crore till February 13 - The Economic Times,2016-02-22,Economic Times India
573,"Income Tax Collection: Direct tax collection falls short, CBDT raises alarm - The Economic Times",2019-03-28,Economic Times India
574,"direct tax collections: Direct tax collection grows 21% till mid-July FY'18 - The Economic Times
						",2017-08-01,Economic Times India
575,"Direct tax collection jumps 18 per cent to Rs 43,391 crore in April-May - The Economic Times",2016-06-10,Economic Times India
576,Lok Sabha: Direct tax collection reaches 67 per cent of budget estimate - The Economic Times,2017-12-29,Economic Times India
577,Direct tax collection up 10.6% to Rs 3.77 lakh crore - The Economic Times,2016-11-09,Economic Times India
578,Direct tax collection up 10.6% to Rs 3.77 lakh crore - The Economic Times,2016-11-09,Economic Times India
579,"CBDT: Direct tax collection up 19% in Apr-July at Rs 1.90 lakh crore - The Economic Times
						",2017-08-09,Economic Times India
580,CBDT: Direct tax collection up 19% in Apr-July at Rs 1.90 lakh crore,2017-08-09,Economic Times India
581,"Direct tax collections in Mumbai, Delhi in single digit - The Economic Times",2016-12-28,Economic Times India
582,Direct Tax: Direct tax collections jump 16% to Rs 3.86 lakh core in April-September - The Economic Times,2017-10-11,Economic Times India
583,Direct tax collections: Boost ahead of budget: Direct tax collections rise 18.2% in April-December,2018-01-09,Economic Times India
584,"Direct tax mop up at 5.54 lakh crore, indirect at Rs 5.69 lakh crore: Government - The Economic Times",2016-03-11,Economic Times India
585,Direct Tax: Direct tax mop-up jumps 19% to Rs 6.89 lakh cr this fiscal - The Economic Times,2018-01-17,Economic Times India
586,Direct tax mop-up rises 15% to Rs 1.89 lakh crore in April-August - The Economic Times,2016-09-12,Economic Times India
587,Direct Tax: Direct tax revenue grows 17.5% to Rs 2.24 lakh crore in April-August - The Economic Times,2017-09-11,Economic Times India
588,Direct tax target realistic and achievable: Revenue secretary - The Economic Times,2019-07-24,Economic Times India
589,"Directorate of Advertising and Visual Publicity spent about Rs 1,286 crore in 2016-17: Government",2017-07-20,Economic Times India
590,Disinvestment: Disinvestment: Delisting of some sick CPSEs likely for better valuation - The Economic Times,2018-02-13,Economic Times India
591,"Disinvestment department seeks tax incentives for retail investors - The Economic Times
						",2015-10-18,Economic Times India
592,Disinvestment disaster: Government forces LIC to cover up at ONGC; investors bid for Rs 400 crore - The Economic Times,2012-03-02,Economic Times India
593,Disinvestment receipts beat target - The Economic Times,2019-03-23,Economic Times India
594,Disinvestment target should not be confined to dates: DoD,2016-02-21,Economic Times India
595,Display of uncut diamond inside SNZ not taxable: CBDT - The Economic Times,2015-10-16,Economic Times India
596,"Diwali bonanza for government employees, pensioners; 2% increase in dearness allowance on cards - The Economic Times",2016-10-26,Economic Times India
597,Domestic shocks to shake up 7.5% GDP growth in short term: Moody's - The Economic Times,2016-07-06,Economic Times India
598,Domestic shocks to shake up 7.5% GDP growth in short term: Moody's - The Economic Times,2016-07-06,Economic Times India
599,Don't answer all questions that may cause problem: Manmohan to Urjit - The Economic Times,2017-01-18,Economic Times India
600,Don't hurt Modi this Diwali. Go slow on your festive shopping,2016-09-23,Economic Times India
601,"Don’t panic on NPAs: They pose a problem but shouldn’t inhibit entrepreneurs and banks from taking risks - The Economic Times
						",2017-06-29,Economic Times India
602,DoP for FDI cap on pharma sector; DIPP disagrees - The Economic Times,2010-04-04,Economic Times India
603,Draft bill on resolution of financial firms credit positive: Moody's,2016-10-18,Economic Times India
604,Cryptocurrency: Draft law proposes 10-year jail term for dealing in cryptocurrency,2019-06-07,Economic Times India
605,DRI told to verify global report of $505 bn leaving India through money laundering - The Economic Times,2016-02-16,Economic Times India
606,Durgapur-Asansol is on an industrial high - The Economic Times,2008-06-30,Economic Times India
607,gst: E-commerce companies may need to prepare for withholding tax in two months - The Economic Times,2018-04-30,Economic Times India
608,"E-commerce sector rides on Digital India, note ban - The Economic Times",2017-12-30,Economic Times India
609,E-filing of service tax to be mandatory in 2 months: CBEC,2009-11-12,Economic Times India
610,"Number of e-governance transactions in India crosses 1,000-crore mark - The Economic Times",2016-12-16,Economic Times India
611,"Number of e-governance transactions in India crosses 1,000-crore mark - The Economic Times",2016-12-16,Economic Times India
612,E-money order to be available across 70% post offices by December - The Economic Times,2015-04-07,Economic Times India
613,"E-portal for govt purchases will save Rs 40,000 crore annually: Commerce Ministry - The Economic Times
						",2017-01-23,Economic Times India
614,GST revenue: E-way bills may boost GST revenue: Tax officials - The Economic Times,2017-12-30,Economic Times India
615,EC to seek RBI clarification on new banking licences - The Economic Times,2014-03-21,Economic Times India
616,Eco Survey 2016: Containing fiscal deficit a challenge in 2016-17 - The Economic Times,2016-02-26,Economic Times India
617,Eco Survey 2016: Moots using unused RBI reserves to boost capital position of banks - The Economic Times,2016-02-27,Economic Times India
618,"Eco Survey 2016: Reserve Bank of India mismanaged liquidity, says CEA Arvind Subramanian - The Economic Times",2016-02-27,Economic Times India
619,Ecommerce ‘clicks’ well as plastic money usage sees an increase - The Economic Times,2015-09-07,Economic Times India
620,Economic recovery to accelerate; inflation seen below 5 per cent: Morgan Stanley - The Economic Times,2016-08-14,Economic Times India
621,"Economic revival: Govt is doing its bit to kick-start investment, but can the private sector keep its end of the bargain? - The Economic Times",2016-02-28,Economic Times India
622,Economic Survey 2011: Allow phased opening of FDI in multi-brand retail - The Economic Times,2011-02-25,Economic Times India
623,"Economic Survey 2016: Contribution of CPSEs like ONGC dipped by Rs 20,000 crore in FY15 - The Economic Times",2016-02-26,Economic Times India
624,"Economic Survey 2016: Contribution of CPSEs like ONGC dipped by Rs 20,000 crore in FY15 - The Economic Times",2016-02-26,Economic Times India
625,Economic Survey 2016: Digitisation leads to increase in tax collection - The Economic Times,2016-02-26,Economic Times India
626,Economic Survey 2016: FDI up 31 per cent at $24.8 billion during April-November - The Economic Times,2016-02-26,Economic Times India
627,"Economic Survey 2016: Government's LED drive to save over Rs 45,000 crore - The Economic Times",2016-02-26,Economic Times India
628,Economic Survey 2016 raises red flag on FDI from small nations,2016-02-27,Economic Times India
629,"Economic Survey 2016: Subsidy bill to be below 2% of GDP in FY'16 - The Economic Times
						",2016-02-26,Economic Times India
630,Economic Survey 2018: Economic Survey 2018: How flow and steady wins the race - The Economic Times,2018-01-30,Economic Times India
631,Economic Survey calls for need to set up government owned ARC to revive economy - The Economic Times,2017-01-31,Economic Times India
632,"Economists see pain, then gain for India after bank note shock - The Economic Times",2016-11-09,Economic Times India
633,Economy growing at over 7% despite export ordeal: Nirmala Sitharaman - The Economic Times,2016-02-16,Economic Times India
634,"RBI: Economy headed for consolidation, says RBI survey - The Economic Times",2017-06-08,Economic Times India
635,"Abhijit Banerjee: Economy in tailspin…doing very badly, says Nobel laureate Abhijit Banerjee",2019-10-16,Economic Times India
636,Economy needs outward-oriented growth to clock 8-10 per cent rate: CEA Arvind Subramanian - The Economic Times,2016-07-12,Economic Times India
637,Economy needs outward-oriented growth to clock 8-10 per cent rate:CEA - The Economic Times,2016-07-12,Economic Times India
638,GST: Economy rides on consumer spending revival ahead of GST launch - The Economic Times,2017-05-30,Economic Times India
639,"Edelweiss announces pact with CDPQ for Rs 5,000 crore investment - The Economic Times",2016-10-03,Economic Times India
640,Effective corporate tax rate increases to 24.67% in FY15 from 23.22% in FY14 - The Economic Times,2016-03-04,Economic Times India
641,Effective corporate tax rate increases to 24.67% in FY15 from 23.22% in FY14 - The Economic Times,2016-03-04,Economic Times India
642,Effective policies can fix inflation: D Subbarao - The Economic Times,2013-03-09,Economic Times India
643,Effective Service Tax rate on AC restaurant bills 5.6%: Finance ministry - The Economic Times,2015-06-03,Economic Times India
644,Election | Budget 2019: Election handouts threaten India's plan to curb Budget deficits,2019-01-11,Economic Times India
645,"Elections an emerging uncertainty, says Raghuram Rajan - The Economic Times",2013-12-31,Economic Times India
646,Enemy Property Bill: Enemy Property Bill to bring windfall of Rs 1 lakh crore for government - The Economic Times,2017-03-17,Economic Times India
647,Enemy Property Bill to bring windfall of Rs 1 lakh crore for government - The Economic Times,2017-03-17,Economic Times India
648,'Enhanced budget allocation to infra will boost order inflow' - The Economic Times,2017-03-03,Economic Times India
649,"Enough funds for NREGS, says Rural Development Secretary Amarjeet Sinha - The Economic Times",2016-08-10,Economic Times India
650,"GST: Entertainment, cable, DTH to attract lower taxes under GST - The Economic Times",2017-05-23,Economic Times India
651,EPFO asks field staff to gear up for implementing new wage cap - The Economic Times,2014-07-15,Economic Times India
652,Employees' Provident Fund Organisation: EPFO cuts administrative charges; firms to save Rs 900 crore - The Economic Times,2018-05-27,Economic Times India
653,"EPFO lets small firms pay dues by cheques, drafts till June - The Economic Times",2016-02-12,Economic Times India
654,Erstwhile RBI board advised shifting government Debt Management to Public Debt Management Agency - The Economic Times,2015-03-05,Economic Times India
655,Escorts Ltd: Escorts ties up with SBI for agri service vertical - The Economic Times,2013-06-04,Economic Times India
656,Subhash Chandra: Essel Finance acquires Bimadirect operator for Rs 25-30 crore - The Economic Times,2017-09-04,Economic Times India
657,ET Awards panel discussion: Short-term pain of note ban to yield big gains - The Economic Times,2016-12-19,Economic Times India
658,"ET GBS: New financial architecture will be a game changer, says Jayant Sinha - The Economic Times",2016-01-31,Economic Times India
659,ET in classroom: State development loans,2010-03-30,Economic Times India
660,ET in the classroom: How to manage liquidity in the system - The Economic Times,2016-08-12,Economic Times India
661,ET in the Classroom: Peer-to-peer lending is the new way to lend funds - The Economic Times,2016-05-03,Economic Times India
662,ET in the Classroom: Takoever of an AMC - The Economic Times,2017-01-25,Economic Times India
663,"ET in the classroom: Understanding trade settlement cycle - The Economic Times
						",2012-12-14,Economic Times India
664,ET in the classroom: What is Islamic finance? - The Economic Times,2011-03-31,Economic Times India
665,ET in the classroom: What is the difference between branch and subsidiary in foreign banks?  - The Economic Times,2012-05-15,Economic Times India
666,Ex-RBI deputy governor cautions against frequent loan waivers - The Economic Times,2018-07-19,Economic Times India
667,Religare Enterprises: Ex-Religare CMD Godhwani to raise $500 mn for stressed assets fund - The Economic Times,2018-01-14,Economic Times India
668,"demonetisation: Excess Rs 2.5-3 lakh crore in economy, need for digital push: Govt - The Economic Times",2017-03-28,Economic Times India
669,petrol prices: Excise duty cut in oil to impact fiscal deficit badly: Moody's - The Economic Times,2018-06-17,Economic Times India
670,"Excise mop up from Mumbai soars 36% to Rs 15,729 crore in Q1 - The Economic Times",2016-07-26,Economic Times India
671,Exercise caution while issuing SCNs: CBEC to officials - The Economic Times,2015-05-24,Economic Times India
672,Exim Bank extends $10 mn loan facility to Seychelles - The Economic Times,2018-06-27,Economic Times India
673,Exim Bank extends its second largest credit of $1-bn to Mongolia - The Economic Times,2016-05-03,Economic Times India
