Symbol;Security;;GICS Sector;GICS Sub Industry;;;;
SBAC;SBA Communications;;Real Estate;Specialized REITs;;;;
SBUX;Starbucks Corp.;;Consumer Discretionary;Restaurants;;;;
SCHW;Charles Schwab Corporation;;Financials;Investment Banking & Brokerage;;;;
SEE;Sealed Air;;Materials;Paper Packaging;;;;
SHW;Sherwin-Williams;;Materials;Specialty Chemicals;;;;
SIVB;SVB Financial;;Financials;Regional Banks;;;;
SJM;JM Smucker;;Consumer Staples;Packaged Foods & Meats;;;;
SLB;Schlumberger Ltd.;;Energy;Oil & Gas Equipment & Services;;;;
SLG;SL Green Realty;;Real Estate;Office REITs;;;;
SNA;Snap-on;;Industrials;Industrial Machinery;;;;
SNPS;Synopsys Inc.;;Information Technology;Application Software;;;;
SO;Southern Co.;;Utilities;Electric Utilities;;;;
SPG;Simon Property Group Inc;;Real Estate;Retail REITs;;;;
SPGI;S&P Global Inc.;;Financials;Financial Exchanges & Data;;;;
SRE;Sempra Energy;;Utilities;Multi-Utilities;;;;
STI;SunTrust Banks;;Financials;Regional Banks;;;;
STT;State Street Corp.;;Financials;Asset Management & Custody Banks;;;;
STX;Seagate Technology;;Information Technology;Technology Hardware Storage & Peripherals;;;;
STZ;Constellation Brands;;Consumer Staples;Distillers & Vintners;;;;
SWK;Stanley Black & Decker;;Industrials;Industrial Machinery;;;;
SWKS;Skyworks Solutions;;Information Technology;Semiconductors;;;;
SYF;Synchrony Financial;;Financials;Consumer Finance;;;;
SYK;Stryker Corp.;;Health Care;Health Care Equipment;;;;
SYY;Sysco Corp.;;Consumer Staples;Food Distributors;;;;
T;AT&T Inc.;;Communication Services;Integrated Telecommunication Services;;;;
TAP;Molson Coors Brewing Company;;Consumer Staples;Brewers;;;;
TDG;TransDigm Group;;Industrials;Aerospace & Defense;;;;
TEL;TE Connectivity Ltd.;;Information Technology;Electronic Manufacturing Services;;;;
TFX;Teleflex;;Health Care;Health Care Equipment;;;;
TGT;Target Corp.;;Consumer Discretionary;General Merchandise Stores;;;;
TIF;Tiffany & Co.;;Consumer Discretionary;Apparel Accessories & Luxury Goods;;;;
TJX;TJX Companies Inc.;;Consumer Discretionary;Apparel Retail;;;;
TMO;Thermo Fisher Scientific;;Health Care;Life Sciences Tools & Services;;;;
TMUS;T-Mobile US;;Communication Services;Wireless Telecommunication Services;;;;
TPR;Tapestry Inc.;;Consumer Discretionary;Apparel  Accessories & Luxury Goods;;;;
TRIP;TripAdvisor;;Communication Services;Interactive Media & Services;;;;
TROW;T. Rowe Price Group;;Financials;Asset Management & Custody Banks;;;;
TRV;The Travelers Companies Inc.;;Financials;Property & Casualty Insurance;;;;
TSCO;Tractor Supply Company;;Consumer Discretionary;Specialty Stores;;;;
TSN;Tyson Foods;;Consumer Staples;Packaged Foods & Meats;;;;
TTWO;Take-Two Interactive;;Communication Services;Interactive Home Entertainment;;;;
TWTR;Twitter  Inc.;;Communication Services;Interactive Media & Services;;;;
TXN;Texas Instruments;;Information Technology;Semiconductors;;;;
TXT;Textron Inc.;;Industrials;Aerospace & Defense;;;;
UA;Under Armour Class C;;Consumer Discretionary;Apparel  Accessories & Luxury Goods;;;;
UAA;Under Armour Class A;;Consumer Discretionary;Apparel  Accessories & Luxury Goods;;;;
UAL;United Airlines Holdings;;Industrials;Airlines;;;;
UDR;UDR  Inc.;;Real Estate;Residential REITs;;;;
UHS;Universal Health Services  Inc.;;Health Care;Health Care Facilities;;;;
ULTA;Ulta Beauty;;Consumer Discretionary;Specialty Stores;;;;
UNH;United Health Group Inc.;;Health Care;Managed Health Care;;;;
UNM;Unum Group;;Financials;Life & Health Insurance;;;;
UNP;Union Pacific Corp;;Industrials;Railroads;;;;
UPS;United Parcel Service;;Industrials;Air Freight & Logistics;;;;
URI;United Rentals  Inc.;;Industrials;Trading Companies & Distributors;;;;
USB;U.S. Bancorp;;Financials;Diversified Banks;;;;
UTX;United Technologies;;Industrials;Aerospace & Defense;;;;
V;Visa Inc.;;Information Technology;Data Processing & Outsourced Services;;;;
VAR;Varian Medical Systems;;Health Care;Health Care Equipment;;;;
VFC;V.F. Corp.;;Consumer Discretionary;Apparel  Accessories & Luxury Goods;;;;
VIAB;Viacom Inc.;;Communication Services;Movies & Entertainment;;;;
VLO;Valero Energy;;Energy;Oil & Gas Refining & Marketing;;;;
VMC;Vulcan Materials;;Materials;Construction Materials;;;;
VNO;Vornado Realty Trust;;Real Estate;Office REITs;;;;
VRSK;Verisk Analytics;;Industrials;Research & Consulting Services;;;;
VRSN;Verisign Inc.;;Information Technology;Internet Services & Infrastructure;;;;
VRTX;Vertex Pharmaceuticals Inc;;Health Care;Biotechnology;;;;
VTR;Ventas Inc;;Real Estate;Health Care REITs;;;;
VZ;Verizon Communications;;Communication Services;Integrated Telecommunication Services;;;;
WAB;Wabtec Corporation;;Industrials;Construction Machinery & Heavy Trucks;;;;
WAT;Waters Corporation;;Health Care;Health Care Distributors;;;;
WBA;Walgreens Boots Alliance;;Consumer Staples;Drug Retail;;;;
WCG;WellCare;;Health Care;Managed Health Care;;;;
WDC;Western Digital;;Information Technology;Technology Hardware  Storage & Peripherals;;;;
WEC;Wec Energy Group Inc;;Utilities;Electric Utilities;;;;
WELL;Welltower Inc.;;Real Estate;Health Care REITs;;;;
WFC;Wells Fargo;;Financials;Diversified Banks;;;;
WHR;Whirlpool Corp.;;Consumer Discretionary;Household Appliances;;;;
WLTW;Willis Towers Watson;;Financials;Insurance Brokers;;;;
WM;Waste Management Inc.;;Industrials;Environmental & Facilities Services;;;;
WMB;Williams Cos.;;Energy;Oil & Gas Storage & Transportation;;;;
WMT;Walmart;;Consumer Staples;Hypermarkets & Super Centers;;;;
WRK;WestRock;;Materials;Paper Packaging;;;;
WU;Western Union Co;;Information Technology;Data Processing & Outsourced Services;;;;
WY;Weyerhaeuser;;Real Estate;Specialized REITs;;;;
WYNN;Wynn Resorts Ltd;;Consumer Discretionary;Casinos & Gaming;;;;
XEC;Cimarex Energy;;Energy;Oil & Gas Exploration & Production;;;;
XEL;Xcel Energy Inc;;Utilities;Multi-Utilities;;;;
XLNX;Xilinx;;Information Technology;Semiconductors;;;;
XOM;Exxon Mobil Corp.;;Energy;Integrated Oil & Gas;;;;
XRAY;Dentsply Sirona;;Health Care;Health Care Supplies;;;;
XRX;Xerox;;Information Technology;Technology Hardware  Storage & Peripherals;;;;
XYL;Xylem Inc.;;Industrials;Industrial Machinery;;;;
YUM;Yum! Brands Inc;;Consumer Discretionary;Restaurants;;;;
ZBH;Zimmer Biomet Holdings;;Health Care;Health Care Equipment;;;;
ZION;Zions Bancorp;;Financials;Regional Banks;;;;
ZTS;Zoetis;;Health Care;Pharmaceuticals;;;;
